id,label,in_degree,out_degree
1,Martin le Beguin,4,4
2,Wasteblé,4,4
3,Pons de Capdoill,5,33
4,Pons de la Garda,6,7
5,Jordan Bonel de Cofolen,3,3
6,Arnaut de Maroill,4,30
7,Monge de Foissan,7,5
8,Bertran de Born,32,26
9,Gaucelm Faidit,18,47
10,Joan Lag,2,5
11,Raimon de Tors,6,2
12,Peire Cardenal,42,10
13,Eble d'Uisel,3,5
14,Hartwig von Raute,3,3
15,Jori,5,2
16,Rudolf von Fenis,4,4
17,Gace Brulé,4,20
18,Guigo de Cabanas,5,2
19,Guillem de Berguedan,7,15
20,Guiraut Riquier,14,4
21,Raimbaut de Vaqueiras,25,50
22,Aimeric de Peguilhan,10,9
23,Richart de Berbezill,5,8
24,Raimon de Miraval,17,43
25,Peire de Bragairac,3,2
26,Peire Raimon de Toloza,10,12
27,Berenguier de Palazol,6,3
28,Moniot d'Arras,1,1
29,Philippe de Nanteuil,1,1
30,Gui d'Uisel,4,6
31,Peirol,20,57
32,Guilhem d'Autpol,2,1
33,Author of BdT 461.189,1,1
34,Guillem del Baus,6,5
35,Coms de Proensa,7,3
36,Gui de Cavaillo,13,26
37,Lo Vesques de Basaz,1,2
38,Uc (Baussan),6,4
39,Peire de Valeira,2,2
40,Dalfin d'Alvernhe,8,6
41,Folquet de Marseilla,15,23
42,Bertran d'Alamano,21,11
43,Monge de Montaudo,7,4
44,Gavaudan,3,3
45,Guillem de la Tor,4,1
46,Bernart de Ventadorn,21,47
47,Bernart Marti,2,2
48,Pons de Monlaur,4,3
49,Peire Bremon Ricas Novas,13,10
50,Serveri de Girona,16,10
51,Uc de Saint Circ,25,12
52,Sordel,21,15
53,Peire Vidal,5,46
54,Peire Rogier,1,1
55,Blacatz,8,1
56,Author of RS 1576a,1,1
57,Raimbaut III d'Aurenga,8,16
58,Peire Raimon de Toloza (lo vielh),2,6
59,Daude de Pradas,2,2
60,Marcabru,19,16
61,Cercamon,1,1
62,Albertet de Sestaro,11,12
63,Giraut de Borneill,7,31
64,Monge,5,5
65,Author of BdT 461.35a,1,1
66,Gormonda,2,1
67,Sail d'Escola,1,6
68,Peire Bremon lo Tort,1,2
69,Pujol,4,1
70,Author of BdT 461.97,1,1
71,Blondel de Nesle,2,2
72,Author of BdT 461.9a,2,2
73,Arnaut Catalan,1,1
74,Jaufre Rudel,0,3
75,Peire d'Alvergne,6,7
76,Guiraut de Calanso,4,4
77,Guiraut de Cabreira,4,4
78,Arnaut Daniel,3,8
79,Simon Doria,9,3
80,Albert,4,2
81,Guillem IX d'Aquitania,2,5
82,Gontier,1,1
83,Uc Catola,1,1
84,Joan d'Albuzo,2,1
85,Marcoat,2,2
86,Adam de la Halle,4,4
87,Author of BdT 461.247,3,2
88,Author of BdT 461.147,3,2
89,Jean Bodel,1,1
90,Bonifaci Calvo,6,3
91,Elias Cairel,3,3
92,Guillem de Saint Leidier,3,28
93,Gausbert de Poicibot,1,1
94,Formit de Perpignan,1,1
95,Elias Fonsalada,1,1
96,Author of RS 1457,0,4
97,Albert Malaspina,0,12
98,Gautier de Coinci,1,1
99,Hilarius,0,1
100,Author of BdT 234.12,0,6
101,Elias de Barjols,3,6
102,Guillem de Cabestaing,0,11
103,Philippe le Chancellier,1,1
104,Guillem Figueira,10,2
105,Uc Brunet,0,2
106,Ademar (II) de Poitiers,1,6
107,Perdigo,2,6
108,Raimon Jordan,0,16
109,Peire de Gavaret,0,1
110,Peire de Durban,0,1
111,Author of BdT 461.148,0,1
112,Garin d'Apchier,1,2
113,Raimon VII de Toloza,1,1
114,Author of Promat chorus hodie,0,1
115,Author of Ecce letantur omnia,0,1
116,Bertran d'Aurel,1,1
117,Author of De ramis cadunt folia,0,1
118,Author of In hoc anni circulo,0,1
119,Tostemps,0,1
120,Comte,1,0
121,Guiraudo lo Ros,1,0
