id,fwd,bkwd,author_name
1,13,15,Martin le Beguin
2,46,15,Wasteblé
3,218,15,Pons de Capdoill
4,240,15,Pons de la Garda
5,183,24,Jordan Bonel de Cofolen
6,240,40,Arnaut de Maroill
7,237,86,Monge de Foissan
8,239,82,Bertran de Born
9,214,77,Gaucelm Faidit
10,214,10,Joan Lag
11,53,86,Raimon de Tors
12,213,92,Peire Cardenal
13,115,47,Eble d'Uisel
14,16,86,Hartwig von Raute
15,214,12,Jori
16,214,6,Rudolf von Fenis
17,213,8,Gace Brulé
18,113,49,Guigo de Cabanas
19,244,18,Guillem de Berguedan
20,41,91,Guiraut Riquier
21,240,89,Raimbaut de Vaqueiras
22,185,50,Aimeric de Peguilhan
23,240,75,Richart de Berbezill
24,239,37,Raimon de Miraval
25,234,10,Peire de Bragairac
26,237,93,Peire Raimon de Toloza
27,240,13,Berenguier de Palazol
28,3,6,Moniot d'Arras
29,3,2,Philippe de Nanteuil
30,205,7,Gui d'Uisel
31,246,80,Peirol
32,17,74,Guilhem d'Autpol
33,2,13,Author of BdT 461.189
34,202,36,Guillem del Baus
35,107,69,Coms de Proensa
36,202,59,Gui de Cavaillo
37,109,68,Lo Vesques de Basaz
38,118,67,Uc (Baussan)
39,237,4,Peire de Valeira
40,119,67,Dalfin d'Alvernhe
41,244,82,Folquet de Marseilla
42,109,85,Bertran d'Alamano
43,234,26,Monge de Montaudo
44,234,57,Gavaudan
45,137,79,Guillem de la Tor
46,244,79,Bernart de Ventadorn
47,244,3,Bernart Marti
48,202,36,Pons de Monlaur
49,109,84,Peire Bremon Ricas Novas
50,109,93,Serveri de Girona
51,202,82,Uc de Saint Circ
52,121,85,Sordel
53,247,22,Peire Vidal
54,186,13,Peire Rogier
55,95,55,Blacatz
56,3,82,Author of RS 1576a
57,241,83,Raimbaut III d'Aurenga
58,242,9,Peire Raimon de Toloza (lo vielh)
59,58,14,Daude de Pradas
60,246,83,Marcabru
61,58,2,Cercamon
62,240,85,Albertet de Sestaro
63,247,73,Giraut de Borneill
64,214,29,Monge
65,12,77,Author of BdT 461.35a
66,155,56,Gormonda
67,247,2,Sail d'Escola
68,243,3,Peire Bremon lo Tort
69,100,49,Pujol
70,2,7,Author of BdT 461.97
71,205,5,Blondel de Nesle
72,17,74,Author of BdT 461.9a
73,203,12,Arnaut Catalan
74,93,1,Jaufre Rudel
75,240,82,Peire d'Alvergne
76,123,82,Guiraut de Calanso
77,123,82,Guiraut de Cabreira
78,186,86,Arnaut Daniel
79,3,79,Simon Doria
80,3,78,Albert
81,246,3,Guillem IX d'Aquitania
82,122,11,Gontier
83,241,5,Uc Catola
84,121,16,Joan d'Albuzo
85,240,2,Marcoat
86,8,15,Adam de la Halle
87,3,6,Author of BdT 461.247
88,116,43,Author of BdT 461.147
89,94,34,Jean Bodel
90,55,86,Bonifaci Calvo
