id,label,in_degree,out_degree
1,Martin le Beguin,0,0
2,Wasteblé,0,0
3,Pons de Capdoill,0,27
4,Pons de la Garda,0,1
5,Jordan Bonel de Cofolen,0,0
6,Arnaut de Maroill,0,26
7,Monge de Foissan,2,0
8,Bertran de Born,22,14
9,Gaucelm Faidit,1,32
10,Joan Lag,0,3
11,Raimon de Tors,4,0
12,Peire Cardenal,36,1
13,Eble d'Uisel,1,3
14,Hartwig von Raute,0,0
15,Jori,3,0
16,Rudolf von Fenis,0,0
17,Gace Brulé,0,16
18,Guigo de Cabanas,3,0
19,Guillem de Berguedan,2,10
20,Guiraut Riquier,9,0
21,Raimbaut de Vaqueiras,7,32
22,Aimeric de Peguilhan,2,2
23,Richart de Berbezill,0,3
24,Raimon de Miraval,7,31
25,Peire de Bragairac,1,0
26,Peire Raimon de Toloza,0,2
27,Berenguier de Palazol,3,0
28,Moniot d'Arras,0,0
29,Philippe de Nanteuil,0,0
30,Gui d'Uisel,2,4
31,Peirol,1,41
32,Guilhem d'Autpol,1,0
33,Author of BdT 461.189,0,0
34,Guillem del Baus,3,2
35,Coms de Proensa,4,0
36,Gui de Cavaillo,6,19
37,Lo Vesques de Basaz,0,1
38,Uc (Baussan),3,1
39,Peire de Valeira,0,0
40,Dalfin d'Alvernhe,4,1
41,Folquet de Marseilla,1,11
42,Bertran d'Alamano,11,1
43,Monge de Montaudo,5,1
44,Gavaudan,1,0
45,Guillem de la Tor,2,0
46,Bernart de Ventadorn,0,26
47,Bernart Marti,0,0
48,Pons de Monlaur,1,0
49,Peire Bremon Ricas Novas,4,0
50,Serveri de Girona,7,1
51,Uc de Saint Circ,16,2
52,Sordel,13,8
53,Peire Vidal,0,42
54,Peire Rogier,0,0
55,Blacatz,7,0
56,Author of RS 1576a,0,0
57,Raimbaut III d'Aurenga,0,10
58,Peire Raimon de Toloza (lo vielh),0,4
59,Daude de Pradas,0,0
60,Marcabru,5,4
61,Cercamon,0,0
62,Albertet de Sestaro,0,1
63,Giraut de Borneill,3,27
64,Monge,0,0
65,Author of BdT 461.35a,0,0
66,Gormonda,1,0
67,Sail d'Escola,0,5
68,Peire Bremon lo Tort,0,1
69,Pujol,3,0
70,Author of BdT 461.97,0,0
71,Blondel de Nesle,0,0
72,Author of BdT 461.9a,0,0
73,Arnaut Catalan,0,0
74,Jaufre Rudel,0,3
75,Peire d'Alvergne,1,2
76,Guiraut de Calanso,0,0
77,Guiraut de Cabreira,0,0
78,Arnaut Daniel,1,6
79,Simon Doria,6,0
80,Albert,2,0
81,Guillem IX d'Aquitania,1,3
82,Gontier,0,0
83,Uc Catola,1,0
