id,fwd,bkwd,author_name
1,1,1,Martin le Beguin
2,1,1,Wasteblé
3,88,1,Pons de Capdoill
4,2,1,Pons de la Garda
5,1,1,Jordan Bonel de Cofolen
6,29,1,Arnaut de Maroill
7,1,3,Monge de Foissan
8,14,19,Bertran de Born
9,51,4,Gaucelm Faidit
10,5,1,Joan Lag
11,1,33,Raimon de Tors
12,2,34,Peire Cardenal
13,5,2,Eble d'Uisel
14,1,1,Hartwig von Raute
15,1,5,Jori
16,1,1,Rudolf von Fenis
17,20,1,Gace Brulé
18,1,5,Guigo de Cabanas
19,42,3,Guillem de Berguedan
20,1,23,Guiraut Riquier
21,45,8,Raimbaut de Vaqueiras
22,36,7,Aimeric de Peguilhan
23,4,1,Richart de Berbezill
24,105,8,Raimon de Miraval
25,1,2,Peire de Bragairac
26,13,1,Peire Raimon de Toloza
27,1,8,Berenguier de Palazol
28,1,1,Moniot d'Arras
29,1,1,Philippe de Nanteuil
30,23,4,Gui d'Uisel
31,70,7,Peirol
32,1,8,Guilhem d'Autpol
33,1,1,Author of BdT 461.189
34,4,14,Guillem del Baus
35,1,16,Coms de Proensa
36,23,10,Gui de Cavaillo
37,2,1,Lo Vesques de Basaz
38,2,4,Uc (Baussan)
39,1,1,Peire de Valeira
40,2,5,Dalfin d'Alvernhe
41,105,2,Folquet de Marseilla
42,2,28,Bertran d'Alamano
43,2,12,Monge de Montaudo
44,1,2,Gavaudan
45,1,3,Guillem de la Tor
46,68,1,Bernart de Ventadorn
47,1,1,Bernart Marti
48,1,4,Pons de Monlaur
49,1,19,Peire Bremon Ricas Novas
50,7,21,Serveri de Girona
51,6,30,Uc de Saint Circ
52,7,16,Sordel
53,131,1,Peire Vidal
54,1,1,Peire Rogier
55,1,12,Blacatz
56,1,1,Author of RS 1576a
57,20,1,Raimbaut III d'Aurenga
58,43,1,Peire Raimon de Toloza (lo vielh)
59,1,1,Daude de Pradas
60,3,4,Marcabru
61,1,1,Cercamon
62,38,1,Albertet de Sestaro
63,98,9,Giraut de Borneill
64,1,1,Monge
65,1,1,Author of BdT 461.35a
66,1,18,Gormonda
67,7,1,Sail d'Escola
68,2,1,Peire Bremon lo Tort
69,1,4,Pujol
70,1,1,Author of BdT 461.97
71,1,1,Blondel de Nesle
72,1,1,Author of BdT 461.9a
73,1,1,Arnaut Catalan
74,4,1,Jaufre Rudel
75,5,2,Peire d'Alvergne
76,1,1,Guiraut de Calanso
77,1,1,Guiraut de Cabreira
78,15,2,Arnaut Daniel
79,1,11,Simon Doria
80,1,9,Albert
81,35,2,Guillem IX d'Aquitania
82,1,1,Gontier
83,1,4,Uc Catola
84,1,2,Joan d'Albuzo
85,1,1,Marcoat
86,1,1,Adam de la Halle
87,1,5,Author of BdT 461.247
88,1,2,Author of BdT 461.147
89,1,1,Jean Bodel
90,1,5,Bonifaci Calvo
91,1,1,Elias Cairel
